index,processed,sku
0,False,None
1,False,None
2,False,None
3,False,None
4,False,None
5,False,None
6,False,None
7,False,None
8,False,None
9,False,None
10,False,None
11,False,None
12,False,None
13,False,None
14,False,None
15,False,None
16,False,None
17,False,None
18,False,None
19,False,None
20,False,None
21,False,None
22,False,None
23,False,None
24,False,None
25,False,None
26,False,None
27,False,None
28,False,None
29,False,None
30,False,None
31,False,None
32,False,None
33,False,None
34,False,None
35,False,None
36,False,None
37,False,None
38,False,None
39,False,None
40,False,None
41,False,None
42,False,None
43,False,None
44,False,None
45,False,None
46,False,None
47,False,None
48,False,None
49,False,None
50,False,None
51,False,None
52,False,None
53,False,None
54,False,None
55,False,None
56,False,None
57,False,None
58,False,None
59,False,None
60,False,None
61,False,None
62,False,None
63,False,None
64,False,None
65,False,None
66,False,None
67,False,None
68,False,None
69,False,None
70,False,None
71,False,None
72,False,None
73,False,None
74,False,None
75,False,None
76,False,None
77,False,None
78,False,None
79,False,None
80,False,None
81,False,None
82,False,None
83,False,None
84,False,None
85,False,None
86,False,None
87,False,None
88,False,None
89,False,None
90,False,None
91,False,None
92,False,None
93,False,None
94,False,None
95,False,None
96,False,None
97,False,None
98,False,None
99,False,None
100,False,None
101,False,None
102,False,None
103,False,None
104,False,None
105,False,None
106,False,None
107,False,None
108,False,None
109,False,None
110,False,None
111,False,None
112,False,None
113,False,None
114,False,None
115,False,None
116,False,None
117,False,None
118,False,None
119,False,None
120,False,None
121,False,None
122,False,None
123,False,None
124,False,None
125,False,None
126,False,None
127,False,None
128,False,None
129,False,None
130,False,None
131,False,None
132,False,None
133,False,None
134,False,None
135,False,None
136,False,None
137,False,None
138,False,None
139,False,None
140,False,None
141,False,None
142,False,None
143,False,None
144,False,None
145,False,None
146,False,None
147,False,None
148,False,None
149,False,None
150,False,None
151,False,None
152,False,None
153,False,None
154,False,None
155,False,None
156,False,None
157,False,None
158,False,None
159,False,None
160,False,None
161,False,None
162,False,None
163,False,None
164,False,None
165,False,None
166,False,None
167,False,None
168,False,None
169,False,None
170,False,None
171,False,None
172,False,None
173,False,None
174,False,None
175,False,None
176,False,None
177,False,None
178,False,None
179,False,None
180,False,None
181,False,None
182,False,None
183,False,None
184,False,None
185,False,None
186,False,None
187,False,None
188,False,None
189,False,None
190,False,None
191,False,None
192,False,None
193,False,None
194,False,None
195,False,None
196,False,None
197,False,None
198,False,None
199,False,None
200,False,None
201,False,None
202,False,None
203,False,None
204,False,None
205,False,None
206,False,None
207,False,None
208,False,None
209,False,None
210,False,None
211,False,None
212,False,None
213,False,None
214,False,None
215,False,None
216,False,None
217,False,None
218,False,None
219,False,None
